asv_id,best_reference,similarity_score,confidence,taxonomic_assignment,novelty_candidate
ASV98,Metazoa_ref1,0.3763158784817285,low,unassigned,True
ASV99,Rhizaria_ref1,0.38884016072925964,low,unassigned,True
ASV100,Metazoa_ref1,0.3803225791333884,low,unassigned,True
ASV101,Metazoa_ref1,0.35244630980746555,low,unassigned,True
ASV102,Metazoa_ref1,0.36846713415596144,low,unassigned,True
ASV103,Metazoa_ref1,0.3458243127748743,low,unassigned,True
ASV104,Metazoa_ref1,0.32270987034637805,low,unassigned,True
ASV105,Stramenopiles_ref1,0.41476918284536607,low,unassigned,True
ASV106,Stramenopiles_ref1,0.40331948386865035,low,unassigned,True
ASV107,Stramenopiles_ref1,0.374506629958018,low,unassigned,True
ASV108,Metazoa_ref1,0.36111255757238425,low,unassigned,True
ASV109,Metazoa_ref1,0.3456671276338185,low,unassigned,True
ASV110,Metazoa_ref1,0.37545722828225286,low,unassigned,True
ASV111,Rhizaria_ref1,0.3118956995672883,low,unassigned,True
ASV112,Rhizaria_ref1,0.4170886507735536,low,unassigned,True
ASV113,Rhizaria_ref1,0.34250460782320563,low,unassigned,True
ASV114,Metazoa_ref1,0.3768986020524914,low,unassigned,True
ASV115,Metazoa_ref1,0.37441740339896845,low,unassigned,True
ASV116,Metazoa_ref1,0.37343226861977435,low,unassigned,True
ASV117,Stramenopiles_ref1,0.37220612900489475,low,unassigned,True
ASV118,Rhizaria_ref1,0.36562012512715947,low,unassigned,True
ASV119,Stramenopiles_ref1,0.32427540411923295,low,unassigned,True
ASV120,Metazoa_ref1,0.3342944823611075,low,unassigned,True
ASV121,Stramenopiles_ref1,0.3713299056890436,low,unassigned,True
ASV122,Metazoa_ref1,0.3376767331582272,low,unassigned,True
ASV123,Stramenopiles_ref1,0.31539414156874973,low,unassigned,True
ASV124,Stramenopiles_ref1,0.33482307992287047,low,unassigned,True
ASV125,Metazoa_ref1,0.325071773721714,low,unassigned,True
ASV126,Metazoa_ref1,0.3691337430695829,low,unassigned,True
ASV127,Stramenopiles_ref1,0.3399728504408438,low,unassigned,True
ASV128,Metazoa_ref1,0.3649843519165224,low,unassigned,True
ASV129,Metazoa_ref1,0.35953485533073,low,unassigned,True
ASV130,Stramenopiles_ref1,0.35748561031195625,low,unassigned,True
ASV131,Stramenopiles_ref1,0.35429662121842415,low,unassigned,True
ASV132,Stramenopiles_ref1,0.32366099936095827,low,unassigned,True
ASV133,Metazoa_ref1,0.3415318997088525,low,unassigned,True
ASV134,Metazoa_ref1,0.36168741782837593,low,unassigned,True
ASV135,Rhizaria_ref1,0.34714504409780744,low,unassigned,True
ASV136,Stramenopiles_ref1,0.3490196876404519,low,unassigned,True
ASV137,Metazoa_ref1,0.3321677026290736,low,unassigned,True
ASV138,Stramenopiles_ref1,0.346202372132954,low,unassigned,True
ASV139,Metazoa_ref1,0.35859544283640415,low,unassigned,True
ASV140,Stramenopiles_ref1,0.3598430111358193,low,unassigned,True
ASV141,Metazoa_ref1,0.32626572548736815,low,unassigned,True
ASV142,Metazoa_ref1,0.33785854368799834,low,unassigned,True
ASV143,Metazoa_ref1,0.32335918444667133,low,unassigned,True
ASV144,Stramenopiles_ref1,0.3158070874848277,low,unassigned,True
ASV145,Stramenopiles_ref1,0.3370326776876764,low,unassigned,True
ASV146,Rhizaria_ref1,0.3437598697695604,low,unassigned,True
ASV147,Rhizaria_ref1,0.3508760616353534,low,unassigned,True
ASV148,Stramenopiles_ref1,0.28648388014273707,low,unassigned,True
ASV149,Metazoa_ref1,0.3483433414609175,low,unassigned,True
ASV150,Stramenopiles_ref1,0.33206413712836164,low,unassigned,True
ASV151,Rhizaria_ref1,0.38173490971331153,low,unassigned,True
ASV152,Rhizaria_ref1,0.31941335623030803,low,unassigned,True
ASV153,Metazoa_ref1,0.3355966927257656,low,unassigned,True
ASV154,Stramenopiles_ref1,0.307098116429119,low,unassigned,True
ASV155,Metazoa_ref1,0.3384825879659822,low,unassigned,True
ASV156,Metazoa_ref1,0.30165272944184746,low,unassigned,True
ASV157,Metazoa_ref1,0.3706587131083755,low,unassigned,True
ASV158,Stramenopiles_ref1,0.33308020667335475,low,unassigned,True
ASV159,Stramenopiles_ref1,0.3305084426604128,low,unassigned,True
ASV160,Rhizaria_ref1,0.34661729289212734,low,unassigned,True
ASV161,Metazoa_ref1,0.38781025393350194,low,unassigned,True
ASV162,Metazoa_ref1,0.3542038045431465,low,unassigned,True
ASV163,Rhizaria_ref1,0.308445161350759,low,unassigned,True
ASV164,Stramenopiles_ref1,0.36585560826657004,low,unassigned,True
ASV165,Stramenopiles_ref1,0.31703561724134044,low,unassigned,True
ASV166,Metazoa_ref1,0.3662950467195851,low,unassigned,True
ASV167,Rhizaria_ref1,0.32560791718778587,low,unassigned,True
ASV168,Rhizaria_ref1,0.4155979682604956,low,unassigned,True
ASV169,Rhizaria_ref1,0.3320967453727315,low,unassigned,True
ASV170,Metazoa_ref1,0.356153510330127,low,unassigned,True
ASV171,Metazoa_ref1,0.29858606877390936,low,unassigned,True
ASV172,Metazoa_ref1,0.3422853693293088,low,unassigned,True
ASV173,Metazoa_ref1,0.3346983104189316,low,unassigned,True
ASV174,Metazoa_ref1,0.37160012028212264,low,unassigned,True
ASV175,Rhizaria_ref1,0.3461664388842085,low,unassigned,True
ASV176,Rhizaria_ref1,0.3517160302540075,low,unassigned,True
ASV177,Rhizaria_ref1,0.3440958050736322,low,unassigned,True
ASV178,Metazoa_ref1,0.31930501134243666,low,unassigned,True
ASV179,Rhizaria_ref1,0.3413032272110284,low,unassigned,True
ASV180,Rhizaria_ref1,0.32329051098321654,low,unassigned,True
ASV181,Metazoa_ref1,0.31828930245913145,low,unassigned,True
ASV182,Metazoa_ref1,0.34307557587444365,low,unassigned,True
ASV183,Metazoa_ref1,0.3616019496693449,low,unassigned,True
ASV184,Metazoa_ref1,0.3375300996534182,low,unassigned,True
ASV185,Stramenopiles_ref1,0.3474588927770242,low,unassigned,True
ASV186,Rhizaria_ref1,0.38435629602952825,low,unassigned,True
ASV187,Rhizaria_ref1,0.33651862673168426,low,unassigned,True
ASV188,Metazoa_ref1,0.3453816485608419,low,unassigned,True
ASV189,Metazoa_ref1,0.35610379325630337,low,unassigned,True
ASV190,Metazoa_ref1,0.35388033056640583,low,unassigned,True
ASV191,Metazoa_ref1,0.33547718687083006,low,unassigned,True
ASV192,Rhizaria_ref1,0.3257287301511952,low,unassigned,True
ASV193,Metazoa_ref1,0.37323031531058376,low,unassigned,True
ASV194,Metazoa_ref1,0.38184616854323167,low,unassigned,True
ASV195,Metazoa_ref1,0.34864103077951103,low,unassigned,True
ASV196,Metazoa_ref1,0.3422739618608954,low,unassigned,True
ASV197,Metazoa_ref1,0.33548240186889905,low,unassigned,True
ASV198,Metazoa_ref1,0.3347643942378813,low,unassigned,True
ASV199,Stramenopiles_ref1,0.3261710131480091,low,unassigned,True
ASV200,Rhizaria_ref1,0.3318440407939504,low,unassigned,True
ASV201,Metazoa_ref1,0.36878421653326215,low,unassigned,True
ASV202,Stramenopiles_ref1,0.3518949965612932,low,unassigned,True
ASV203,Metazoa_ref1,0.37297322347329526,low,unassigned,True
ASV204,Stramenopiles_ref1,0.339916532207532,low,unassigned,True
ASV205,Rhizaria_ref1,0.2884198324505366,low,unassigned,True
ASV206,Rhizaria_ref1,0.3304583656039337,low,unassigned,True
ASV207,Stramenopiles_ref1,0.34621017982024904,low,unassigned,True
ASV208,Metazoa_ref1,0.34672503736583127,low,unassigned,True
ASV209,Metazoa_ref1,0.3426627498480177,low,unassigned,True
ASV210,Rhizaria_ref1,0.38288400428717667,low,unassigned,True
ASV211,Metazoa_ref1,0.34725877736449917,low,unassigned,True
